year,tony
1969,1776
1981,42nd Street
1976,A Chorus Line
1963,A Funny Thing Happened on the Way to the Forum
2014,A Gentleman's Guide to Love & Murder
1973,A Little Night Music
1978,Ain't Misbehavin'
1977,Annie
1970,Applause
2004,Avenue Q
1985,Big River
2009,Billy Elliot: The Musical
1961,Bye Bye Birdie
1967,Cabaret
1983,Cats
1990,City of Angels
1971,Company
2000,Contact
1992,Crazy for You
1956,Damn Yankees
2017,Dear Evan Hansen
1980,Evita
1965,Fiddler on the Roof
1999,Fosse
2015,Fun Home
1951,Guys and Dolls
2019,Hadestown
2003,Hairspray
1968,Hallelujah Baby!
2016,Hamilton
1964,Hello Dolly!
1962,How to Succeed in Business Without Really Trying
2008,In the Heights
1989,Jerome Robbins' Broadway
2006,Jersey Boys
2013,Kinky Boots
1954,Kismet
1949,Kiss Me Kate
1993,Kiss of the Spider Woman
1984,La Cage aux folles
1987,Les Misérables
1966,Man of La Mancha
2010,Memphis
2005,Monty Python's Spamalot
2020,Moulin Rouge!
1957,My Fair Lady
1982,Nine
2012,Once
1994,Passion
1974,Raisin
1959,Redhead
1996,Rent
1950,South Pacific
2007,Spring Awakening
1995,Sunset Boulevard
1979,Sweeney Todd
2018,The Band's Visit
2011,The Book of Mormon
1952,The King and I
1998,The Lion King
1958,The Music Man
1986,The Mystery of Edwin Drood
1955,The Pajama Game
1988,The Phantom of the Opera
2001,The Producers
1960,The Sound of Music
1991,The Will Rogers Follies
1975,The Wiz
2002,Thoroughly Modern Millie
1997,Titanic
1972,Two Gentlemen of Verona
1953,Wonderful Town
year,best musical
